Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,Postcode,Country,Reference,Category
21/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.60,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233260051000010307245',Travel-Other Travel
21/11/2023,UBER TRIP               HTTPS://HELP.UB,11.45,,UBER TRIP               HTTPS://HELP.UB,"ALDGATE TOWER FIRST FLOOR 2 LEHMAN
STREET",LONDON,E1 8FA,UNITED KINGDOM OF GB AND NI,'AT233260051000010275539',Miscellaneous-Other
20/11/2023,AMZNMKTPLACE            AMAZON.CO.UK,97.06,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT233250085000010033804',General Purchases-Online Purchases
20/11/2023,DELIVEROO               LONDON,9.69,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233250051000010277775',Entertainment-Restaurants
20/11/2023,DELIVEROO               LONDON,23.15,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233250051000010357495',Entertainment-Restaurants
20/11/2023,TAP PORTUGAL WEB -GBP   GB,1978.94,"ROUTING:    FROM:     RECIFE
TO:       LISBON            CARRIER:        TP  CLASS:          00
TO:       LONDON HEATHROW APCARRIER:        TP  CLASS:          00
TO:       LISBON            CARRIER:        NI  CLASS:          00
TO:       RECIFE            CARRIER:        TP  CLASS:          00
TICKET NUMBER:  0008114477              PASSENGER NAME: MORGANA DESABOYA",TAP PORTUGAL WEB -GBP   GB,SUBMISSIONS GBP,UK,A00,UNITED KINGDOM OF GB AND NI,'AT233250051000010340736',Travel-Airline
20/11/2023,TESCO STORE 6490 6490TE LONDON,10.80,,TESCO STORE 6490 6490TE LONDON,HALE VILLAGE,LONDON,N17 9NE,UNITED KINGDOM OF GB AND NI,'AT233250051000010357214',General Purchases-Groceries
20/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.90,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233250051000010283168',Travel-Other Travel
19/11/2023,3CPAYMENT*STARBUCKS TOT LONDON,10.00,,3CPAYMENT*STARBUCKS TOT LONDON,1 ASHLEY ROAD,LONDON,N17 9LP,UNITED KINGDOM OF GB AND NI,'AT233240051000010299776',Miscellaneous-Other
19/11/2023,DELIVEROO               LONDON,17.69,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233240051000010271341',Entertainment-Restaurants
19/11/2023,TESCO STORE 6490 6490TE LONDON,2.60,,TESCO STORE 6490 6490TE LONDON,HALE VILLAGE,LONDON,N17 9NE,UNITED KINGDOM OF GB AND NI,'AT233230044000010392935',General Purchases-Groceries
19/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.80,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233240051000010296266',Travel-Other Travel
19/11/2023,TICKETS 98810208        NOTTINGHAM,16.50,,TICKETS 98810208        NOTTINGHAM,"47 UPPER PARLIAMENT STREET
NORFOLK HOUSE",NOTTINGHAM,NG1,UNITED KINGDOM OF GB AND NI,'AT233230044000010391530',Entertainment-General Events
19/11/2023,UBER TRIP               HTTPS://HELP.UB,23.94,,UBER TRIP               HTTPS://HELP.UB,"ALDGATE TOWER FIRST FLOOR 2 LEHMAN
STREET",LONDON,E1 8FA,UNITED KINGDOM OF GB AND NI,'AT233230080000010032534',Miscellaneous-Other
18/11/2023,3CPAYMENT*STARBUCKS TOT LONDON,10.00,,3CPAYMENT*STARBUCKS TOT LONDON,1 ASHLEY ROAD,LONDON,N17 9LP,UNITED KINGDOM OF GB AND NI,'AT233230044000010340620',Miscellaneous-Other
18/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.00,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233230044000010399594',Travel-Other Travel
17/11/2023,CAGLA FOOD & WINE       LONDON,1.89,,CAGLA FOOD & WINE       LONDON,89 RUSSELL LANE,LONDON,N20 0BA,UNITED KINGDOM OF GB AND NI,'AT233220042000010297559',Miscellaneous-Other
17/11/2023,DELIVEROO               LONDON,18.89,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233220042000010333953',Entertainment-Restaurants
17/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.20,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233220042000010380496',Travel-Other Travel
16/11/2023,DELIVEROO               LONDON,17.69,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233210051000010274145',Entertainment-Restaurants
16/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.00,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233210051000010352176',Travel-Other Travel
16/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.70,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233210051000010351334',Travel-Other Travel
15/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.80,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233200052000010285246',Travel-Other Travel
15/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,13.50,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233210051000010352170',Travel-Other Travel
14/11/2023,AIRBNB * HM4Q9BE2KS     LONDON,1182.54,,AIRBNB * HM4Q9BE2KS     LONDON,40 COMPTON STREET,LONDON,EC1V 08D,UNITED KINGDOM OF GB AND NI,'AT233180086000010035119',Travel-Travel Agencies
14/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.60,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233190051000010287489',Travel-Other Travel
13/11/2023,DELIVEROO               LONDON,17.69,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233180049000010300707',Entertainment-Restaurants
13/11/2023,EUROSTAR INTERNATIONAL  LONDON,253.00,,EUROSTAR INTERNATIONAL  LONDON,TIMES HOUSE 5 BRAVINGTONS WALK,LONDON,N1 9AW,UNITED KINGDOM OF GB AND NI,'AT233170051000010256387',Travel-Travel Agencies
13/11/2023,Google YouTubePremium   SAO PAULO,4.27,"Foreign Spend Amount: 24,90 BRAZILIAN REAL Commission Amount: 0.12 Currency Exchange Rate: 6",Google YouTubePremium   SAO PAULO,"AV BRIG FARIA LIMA
SAO PAULO",,04538133,BRAZIL,'AT233180049000010300870',Business Services-Professional Services
12/11/2023,EUROSTAR INTERNATIONAL  LONDON,63.00,,EUROSTAR INTERNATIONAL  LONDON,TIMES HOUSE 5 BRAVINGTONS WALK,LONDON,N1 9AW,UNITED KINGDOM OF GB AND NI,'AT233170051000010256380',Travel-Travel Agencies
12/11/2023,EUROSTAR INTERNATIONAL  LONDON,115.00,,EUROSTAR INTERNATIONAL  LONDON,TIMES HOUSE 5 BRAVINGTONS WALK,LONDON,N1 9AW,UNITED KINGDOM OF GB AND NI,'AT233170051000010256381',Travel-Travel Agencies
12/11/2023,EUROSTAR INTERNATIONAL  LONDON,183.00,,EUROSTAR INTERNATIONAL  LONDON,TIMES HOUSE 5 BRAVINGTONS WALK,LONDON,N1 9AW,UNITED KINGDOM OF GB AND NI,'AT233170051000010256378',Travel-Travel Agencies
12/11/2023,Google Storage          SAO PAULO,1.19,"Foreign Spend Amount: 6,99 BRAZILIAN REAL Commission Amount: 0.03 Currency Exchange Rate: 6.0258",Google Storage          SAO PAULO,"AV BRIG FARIA LIMA
SAO PAULO",,04538133,BRAZIL,'AT233180049000010300871',Business Services-Professional Services
12/11/2023,HOTEL ON BOOKING.COM    AMSTERDAM,432.17,"Foreign Spend Amount: 478,99 EUROPEAN UNION EURO Commission Amount: 12.55 Currency Exchange Rate: 1.1414",HOTEL ON BOOKING.COM    AMSTERDAM,"HERENGRACHT 597
AMSTERDAM",,1017 CE,NETHERLANDS (THE),'AT233170051000010259926',Travel-Travel Agencies
11/11/2023,Dodici Pizze            London,34.50,,Dodici Pizze            London,1 WICKFORD WAY,LONDON,E17 6ZH,UNITED KINGDOM OF GB AND NI,'AT233160040000010386713',Miscellaneous-Other
11/11/2023,OCADO                   HATFIELD,64.49,,OCADO                   HATFIELD,"TITAN COURT
3 BISHOPS SQUARE BUSINESS PARK",HATFIELD,AL10 9NE,UNITED KINGDOM OF GB AND NI,'AT233150043000010307387',General Purchases-Groceries
11/11/2023,SPORTAS LIMITED         LONDON,-12.00,,SPORTAS LIMITED         LONDON,14 GAINSBOROUGH ROAD GAINSBOROUGH ROAD,LONDON,E15 3AF,UNITED KINGDOM OF GB AND NI,'AT233160040000010355695',Entertainment-Sports Events
11/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.60,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233160040000010300265',Travel-Other Travel
11/11/2023,The Black Horse         London,12.00,,The Black Horse         London,1 WICKFORD WAY,LONDON,E17 6ZH,UNITED KINGDOM OF GB AND NI,'AT233160040000010386227',Miscellaneous-Other
10/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,7.25,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233150043000010325938',Travel-Other Travel
10/11/2023,UBER TRIP               HTTPS://HELP.UB,16.98,,UBER TRIP               HTTPS://HELP.UB,"ALDGATE TOWER FIRST FLOOR 2 LEHMAN
STREET",LONDON,E1 8FA,UNITED KINGDOM OF GB AND NI,'AT233150043000010279588',Miscellaneous-Other
10/11/2023,WWW.SIGNATUREBRE* ME&U  LONDON,6.87,,WWW.SIGNATUREBRE* ME&U  LONDON,"""SIGNATURE BREW LTD, UNIT 15, UPLANDS BUS""",LONDON,E17,UNITED KINGDOM OF GB AND NI,'AT233150043000010336197',General Purchases-Groceries
10/11/2023,WWW.SIGNATUREBRE* ME&U  LONDON,12.81,,WWW.SIGNATUREBRE* ME&U  LONDON,"""SIGNATURE BREW LTD, UNIT 15, UPLANDS BUS""",LONDON,E17,UNITED KINGDOM OF GB AND NI,'AT233150043000010293213',General Purchases-Groceries
09/11/2023,AMZNMKTPLACE            AMAZON.CO.UK,27.22,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT233140052000010263994',General Purchases-Online Purchases
09/11/2023,AMZNMKTPLACE            AMAZON.CO.UK,46.69,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT233170085000010031946',General Purchases-Online Purchases
09/11/2023,KINTAN                  LONDON,114.19,,KINTAN                  LONDON,21 GREAT CASTLE ST,LONDON,W1G 0HY,UNITED KINGDOM OF GB AND NI,'AT233140052000010263436',Entertainment-Restaurants
09/11/2023,M&S BISHOPS STORTFORD   GREATER LONDON,39.05,GOODS,M&S BISHOPS STORTFORD   GREATER LONDON,6 CITY NORTH PLACE,LONDON,N4 3FU,UNITED KINGDOM OF GB AND NI,'AT233140052000010292179',General Purchases-Department Stores
09/11/2023,SP LOLAS CUPCAKES       LONDON,3.55,,SP LOLAS CUPCAKES       LONDON,32 HAMPSTEAD HIGH STREET,LONDON,NW3,UNITED KINGDOM OF GB AND NI,'AT233140052000010311667',General Purchases-Groceries
09/11/2023,SP SWISH BASKETBALL     CHESSINGTON,12.35,,SP SWISH BASKETBALL     CHESSINGTON,"O ELMSMERE GREEN LA
SWISH BASKETBALL C",CHESSINGTON,KT9,UNITED KINGDOM OF GB AND NI,'AT233140052000010330986',General Purchases-Computer Supplies
09/11/2023,SPORTAS LIMITED         LONDON,12.00,,SPORTAS LIMITED         LONDON,14 GAINSBOROUGH ROAD GAINSBOROUGH ROAD,LONDON,E15 3AF,UNITED KINGDOM OF GB AND NI,'AT233140052000010330992',Entertainment-Sports Events
09/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.60,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233140052000010279816',Travel-Other Travel
08/11/2023,APPLE.COM/BILL          HOLLYHILL,5.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT
LUXEMBOURG",,L-0717,LUXEMBOURG,'AT233120085000010030718',General Purchases-Computer Supplies
08/11/2023,DELIVEROO               LONDON,9.69,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233120085000010029306',Entertainment-Restaurants
08/11/2023,DELIVEROO               LONDON,23.59,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233130052000010259612',Entertainment-Restaurants
08/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.00,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233140052000010284656',Travel-Other Travel
08/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.70,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233130052000010309906',Travel-Other Travel
07/11/2023,ASDA STORE TOTTENHAM HA LONDON,6.75,,ASDA STORE TOTTENHAM HA LONDON,"ASDA TOTTENHAM HALE
UNIT 1 HALE VILLAGE GATEWAY SQUARE
DANELAND WALK",LONDON,N17 9GW,UNITED KINGDOM OF GB AND NI,'AT233120051000010307778',Miscellaneous-Other
07/11/2023,DELIVEROO               LONDON,17.47,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233110069000010025221',Entertainment-Restaurants
07/11/2023,SPORTAS LIMITED         LONDON,-13.00,,SPORTAS LIMITED         LONDON,14 GAINSBOROUGH ROAD GAINSBOROUGH ROAD,LONDON,E15 3AF,UNITED KINGDOM OF GB AND NI,'AT233120051000010233117',Entertainment-Sports Events
07/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.50,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233130052000010309905',Travel-Other Travel
07/11/2023,YOURCOCA-COLA GBP YOURC UNITED KINGDOM,21.99,,YOURCOCA-COLA GBP YOURC UNITED KINGDOM,"1-2 THE STABLES
GADBROOK PARK",NORTHWICH,CW9 7RA,UNITED KINGDOM OF GB AND NI,'AT233120051000010277609',General Purchases-Online Purchases
07/11/2023,YOURCOCA-COLA GBP YOURC UNITED KINGDOM,24.50,,YOURCOCA-COLA GBP YOURC UNITED KINGDOM,"1-2 THE STABLES
GADBROOK PARK",NORTHWICH,CW9 7RA,UNITED KINGDOM OF GB AND NI,'AT233120051000010277610',General Purchases-Online Purchases
06/11/2023,APPLE.COM/BILL          HOLLYHILL,6.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT
LUXEMBOURG",,L-0717,LUXEMBOURG,'AT233110069000010020193',General Purchases-Computer Supplies
06/11/2023,DELIVEROO               LONDON,18.89,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233110047000010308062',Entertainment-Restaurants
05/11/2023,UBER EATS               HTTPS://HELP.UB,17.55,"Foreign Spend Amount: 19,49 EUROPEAN UNION EURO Commission Amount: 0.51 Currency Exchange Rate: 1.1437",UBER EATS               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DB,NETHERLANDS (THE),'AT233110047000010253117',Entertainment-Restaurants
05/11/2023,UBER EATS               HTTPS://HELP.UB,41.22,"Foreign Spend Amount: 45,78 EUROPEAN UNION EURO Commission Amount: 1.20 Currency Exchange Rate: 1.1439",UBER EATS               HTTPS://HELP.UB,"MR. TREUBLAAN 7
AMSTERDAM",,1097 DB,NETHERLANDS (THE),'AT233100052000010305594',Entertainment-Restaurants
03/11/2023,DELIVEROO,-5.00,DeliverooGoldBenefit,DELIVEROO,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233070078000010029589',Entertainment-Restaurants
03/11/2023,DELIVEROO,-5.00,DeliverooGoldBenefit,DELIVEROO,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233080036000010289430',Entertainment-Restaurants
03/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,3.70,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233080036000010313856',Travel-Other Travel
03/11/2023,THE CONTINENTAL BAR     LONDON,15.80,1957 THE CONTINENTAL BAR ST PA,THE CONTINENTAL BAR     LONDON,PANCRAS ROAD,LONDON,NW1 2QP,UNITED KINGDOM OF GB AND NI,'AT233080036000010271989',Entertainment-Restaurants
02/11/2023,APPLE.COM/BILL          HOLLYHILL,6.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT
LUXEMBOURG",,L-0717,LUXEMBOURG,'AT233070078000010028296',General Purchases-Computer Supplies
02/11/2023,DELIVEROO               LONDON,17.69,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233060070000010024192',Entertainment-Restaurants
02/11/2023,PAYMENT RECEIVED - THANK YOU,-4804.06,,PAYMENT RECEIVED - THANK YOU,,,,,'10000000011029999875340',
01/11/2023,DELIVEROO               LONDON,27.28,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233060044000010296812',Entertainment-Restaurants
01/11/2023,DELIVEROO PLUS - UK     LONDON,7.99,,DELIVEROO PLUS - UK     LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233050046000010224604',Entertainment-Restaurants
01/11/2023,NETFLIX.COM             SAO PAULO,13.78,"Foreign Spend Amount: 81,70 BRAZILIAN REAL Commission Amount: 0.40 Currency Exchange Rate: 6.1061",NETFLIX.COM             SAO PAULO,"AV BERNADINO DE CAMPOS 98
SAO PAULO",,04004040,BRAZIL,'AT233060044000010264825',Communications-Internet Communication
01/11/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.00,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233070039000010294378',Travel-Other Travel
31/10/2023,AMAZON.CO.UK*H27OH4354  AMAZON.CO.UK,49.99,,AMAZON.CO.UK*H27OH4354  AMAZON.CO.UK,60 HOLBORN VIADUCT,LONDON,EC1A 2FD,UNITED KINGDOM OF GB AND NI,'AT233050046000010227297',General Purchases-Online Purchases
31/10/2023,DELIVEROO               LONDON,5.04,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233050046000010294959',Entertainment-Restaurants
31/10/2023,DELIVEROO               LONDON,15.58,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233050046000010239467',Entertainment-Restaurants
30/10/2023,DELIVEROO               LONDON,17.69,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233030074000010030016',Entertainment-Restaurants
30/10/2023,DELIVEROO               LONDON,18.89,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233040041000010253980',Entertainment-Restaurants
30/10/2023,DELIVEROO               LONDON,26.62,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233030074000010030035',Entertainment-Restaurants
30/10/2023,META PLATFORMS TECHNOLO LONDON,189.50,,META PLATFORMS TECHNOLO LONDON,10 BROCK STREET REGENTS PLACE,LONDON,NW1 3FG,UNITED KINGDOM OF GB AND NI,'AT233250051000010288221',Miscellaneous-Other
30/10/2023,SPORTAS LIMITED         LONDON,13.00,,SPORTAS LIMITED         LONDON,14 GAINSBOROUGH ROAD GAINSBOROUGH ROAD,LONDON,E15 3AF,UNITED KINGDOM OF GB AND NI,'AT233040041000010228074',Entertainment-Sports Events
29/10/2023,AMZNMKTPLACE            AMAZON.CO.UK,38.98,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT233040041000010274863',General Purchases-Online Purchases
29/10/2023,DELIVEROO               LONDON,25.10,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233030046000010241782',Entertainment-Restaurants
29/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,4.90,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233030046000010285833',Travel-Other Travel
29/10/2023,UBER TRIP               HTTPS://HELP.UB,30.19,,UBER TRIP               HTTPS://HELP.UB,"ALDGATE TOWER FIRST FLOOR 2 LEHMAN
STREET",LONDON,E1 8FA,UNITED KINGDOM OF GB AND NI,'AT233030046000010258093',Miscellaneous-Other
28/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,1.90,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233020036000010380438',Travel-Other Travel
27/10/2023,3CPAYMENT*SUNGLASS HUT  LONDON,148.00,,3CPAYMENT*SUNGLASS HUT  LONDON,90-92 OXFORD ST,LONDON,W1D 1BY,UNITED KINGDOM OF GB AND NI,'AT233010036000010250091',General Purchases-Clothing Stores
27/10/2023,ASDA STORE TOTTENHAM HA LONDON,7.50,,ASDA STORE TOTTENHAM HA LONDON,"ASDA TOTTENHAM HALE
UNIT 1 HALE VILLAGE GATEWAY SQUARE
DANELAND WALK",LONDON,N17 9GW,UNITED KINGDOM OF GB AND NI,'AT233030046000010249187',Miscellaneous-Other
27/10/2023,DELIVEROO               LONDON,19.85,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233010036000010298066',Entertainment-Restaurants
27/10/2023,JUST EAT.CO.UK LTD      LONDON,10.68,,JUST EAT.CO.UK LTD      LONDON,"FLEET PLACE HOUSE
2 FLEET PLACE",LONDON,EC4M 7RF,UNITED KINGDOM OF GB AND NI,'AT233010036000010300342',Entertainment-Restaurants
27/10/2023,NIKEPOS_UK              LONDON,11.95,,NIKEPOS_UK              LONDON,"9-12 TAUENTZIENSTRASSE
BERLIN",,10789,GERMANY,'AT233010036000010281496',General Purchases-Clothing Stores
27/10/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.70,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233010036000010302255',Travel-Other Travel
27/10/2023,UNIQLO EUROPE LTD       LONDON,14.90,,UNIQLO EUROPE LTD       LONDON,170 OXFORD ST,LONDON,W1D 1NQ,UNITED KINGDOM OF GB AND NI,'AT233010036000010291225',General Purchases-Clothing Stores
26/10/2023,AMAZON.CO.UK*H01XG42G4  AMAZON.CO.UK,69.76,,AMAZON.CO.UK*H01XG42G4  AMAZON.CO.UK,60 HOLBORN VIADUCT,LONDON,EC1A 2FD,UNITED KINGDOM OF GB AND NI,'AT233010036000010297937',General Purchases-Online Purchases
